# This file was produced by samtools stats (1.10+htslib-1.10.2) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats lane1.sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	2bd340ac	3072a2d0	3819e104
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	397506
SN	filtered sequences:	0
SN	sequences:	397506
SN	is sorted:	1
SN	1st fragments:	198753
SN	last fragments:	198753
SN	reads mapped:	303036
SN	reads mapped and paired:	291938	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	94470
SN	reads properly paired:	282478	# proper-pair bit set
SN	reads paired:	397506	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	23798	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	2744
SN	total length:	42930648	# ignores clipping
SN	total first fragment length:	21465324	# ignores clipping
SN	total last fragment length:	21465324	# ignores clipping
SN	bases mapped:	32727888	# ignores clipping
SN	bases mapped (cigar):	31886170	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	371315	# from NM fields
SN	error rate:	1.164502e-02	# mismatches / bases mapped (cigar)
SN	average length:	108
SN	average first fragment length:	108
SN	average last fragment length:	108
SN	maximum length:	108
SN	maximum first fragment length:	108
SN	maximum last fragment length:	108
SN	average quality:	29.4
SN	insert size average:	275.9
SN	insert size standard deviation:	47.7
SN	inward oriented pairs:	142274
SN	outward oriented pairs:	585
SN	pairs with other orientation:	871
SN	pairs on different chromosomes:	2239
SN	percentage of properly paired reads (%):	71.1
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	0	347	98	252	845	12	32	15	12	12	60	43	27	3	54	91	2	17	76	84	330	267	88	351	343	313	1137	2011	3427	10445	35591	142361	7	0	0	0
FFQ	2	0	0	0	12	0	49	24	20	35	73	79	72	82	56	74	145	115	70	214	192	116	147	185	266	496	388	231	571	898	553	1578	1805	5088	16182	50958	117941	34	4	0	0
FFQ	3	0	0	0	35	16	37	38	43	52	84	73	108	86	62	82	158	108	66	231	195	104	155	254	312	451	306	261	569	954	570	1504	1733	4866	21244	54865	109107	23	1	0	0
FFQ	4	0	0	0	51	25	12	55	74	70	76	76	101	113	75	143	148	97	122	191	230	136	245	327	306	371	278	315	495	822	514	1520	1744	5037	25899	58029	101038	18	0	0	0
FFQ	5	0	0	0	49	25	38	47	63	68	98	105	107	104	63	142	115	128	106	181	163	102	276	319	272	324	174	361	448	677	502	1337	1760	4722	26547	57487	101825	18	0	0	0
FFQ	6	0	0	0	65	33	41	51	60	64	70	56	82	71	46	100	85	79	68	90	118	95	148	231	185	254	230	386	429	496	575	1987	1771	4944	27100	58447	100287	9	0	0	0
FFQ	7	0	0	0	82	29	47	49	49	79	83	62	84	71	51	79	96	80	79	99	151	78	198	246	233	299	272	377	529	501	607	2282	1663	5998	30115	64548	89527	10	0	0	0
FFQ	8	0	0	0	90	36	44	41	51	58	77	55	82	63	65	64	106	64	78	103	126	92	152	234	182	289	273	352	442	498	566	2099	1558	5261	28580	64513	92454	5	0	0	0
FFQ	9	0	0	0	103	33	34	47	55	64	78	61	71	73	40	82	86	77	80	86	104	79	160	210	182	281	270	326	476	499	551	2072	1573	5206	27559	61444	96685	5	1	0	0
FFQ	10	0	0	0	102	40	36	55	73	73	78	67	78	78	52	95	102	60	67	86	148	109	179	221	223	297	254	439	482	590	615	2227	1616	5940	32055	66801	85414	1	0	0	0
