ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
1	37	2	1	0.000000	16.162162	16.162162	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	44	0	0	0
2	5	2	1	0.000000	23.600000	23.600000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	0
3	30	1	0	0.000000	12.800000	12.800000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	13	0	0	0
4	6	0	0	0.000000	18.833333	18.833333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	12	0	0	0
5	62	1	1	0.000000	36.080645	21.709677	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	53	0	0	0
6	71	1	1	0.000000	14.521127	14.521127	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	29	0	0	0
7	2	1	2	0.000000	49.500000	49.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	24	0	0	0
8	1	1	2	0.000000	61.000000	61.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	23	0	0	0
9	6	2	2	0.000000	78.000000	78.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	39	0	0	0
10	267	1	1	0.000000	22.479401	22.479401	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	152	0	0	0
11	23	2	1	0.000000	45.782609	36.565217	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	48	0	0	0
12	20	1	4	0.000000	89.500000	23.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	64	0	0	0
13	45	0	1	0.000000	23.600000	23.600000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	43	0	0	0
14	34	2	2	0.000000	35.647059	35.647059	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	51	0	0	0
15	29	1	1	0.000000	17.137931	17.137931	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	18	0	0	0
16	4	2	2	0.000000	41.750000	41.750000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	29	0	0	0
17	6	1	1	0.000000	26.833333	26.833333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	0
18	6	2	1	0.000000	42.666667	42.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	23	0	0	0
19	60	2	2	0.000000	59.300000	59.300000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	127	0	0	0
20	29	1	1	0.000000	36.793103	36.793103	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	49	0	0	0
21	18	2	2	0.000000	90.166667	90.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	84	0	0	0
22	17	1	2	0.000000	64.294118	64.294118	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	50	0	0	0
23	29	1	1	0.000000	11.000000	11.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	18	0	0	0
24	92	0	1	0.000000	14.967391	14.967391	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	44	0	0	0
25	62	2	0	0.000000	16.145161	16.145161	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	45	0	0	0
26	129	1	2	0.000000	24.992248	24.992248	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	94	0	0	0
27	59	1	1	0.000000	16.864407	16.864407	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	32	0	0	0
28	133	2	1	0.000000	29.812030	29.812030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	112	0	0	0
29	296	1	1	0.000000	19.192568	19.192568	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	142	0	0	0
30	286	1	1	0.000000	20.622378	20.622378	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	154	0	0	0
31	62	1	2	0.000000	24.403226	24.403226	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	57	0	0	0
