ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
1	20	2	1	0.000000	23.550000	23.550000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	26	0	0	0
2	21	1	1	0.000000	8.761905	8.761905	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	11	0	0	0
3	1	2	2	0.000000	76.000000	76.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	47	0	0	0
4	37	2	1	0.000000	47.216216	47.216216	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	77	0	0	0
5	4	1	1	0.000000	62.000000	62.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	44	0	0	0
6	11062	1	1	0.000000	16.894504	15.502350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	2767	0	0	0
7	33	1	0	0.000000	31.121212	31.121212	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	38	0	0	0
8	1	1	2	0.000000	419.000000	278.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	877	0	0	0
9	2	1	2	0.000000	405.000000	272.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	866	0	0	0
10	1	2	2	0.000000	412.000000	273.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	808	0	0	0
11	20	0	0	0.000000	33.550000	33.550000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	25	0	0	0
12	5	0	0	0.000000	42.400000	42.400000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	23	0	0	0
13	53	1	0	0.000000	25.264151	25.264151	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	52	0	0	0
14	7	0	2	0.000000	49.142857	49.142857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	17	0	0	0
15	25	1	1	0.000000	19.480000	19.480000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	25	0	0	0
16	148	2	1	0.000000	24.831081	24.831081	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	74	0	0	0
17	17	1	1	0.000000	22.176471	22.176471	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	0
18	7	2	2	0.000000	46.285714	46.285714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	25	0	0	0
19	13	1	1	0.000000	18.538462	18.538462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	19	0	0	0
20	9	2	2	0.000000	98.666667	98.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	49	0	0	0
21	3	1	1	0.000000	57.000000	57.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	19	0	0	0
22	9	2	2	0.000000	114.666667	114.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	51	0	0	0
23	2	2	1	0.000000	86.000000	86.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	28	0	0	0
24	8	2	1	0.000000	54.625000	54.625000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	18	0	0	0
25	24	1	1	0.000000	24.458333	24.458333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	19	0	0	0
26	5	1	1	0.000000	79.600000	79.600000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	35	0	0	0
27	41	1	1	0.000000	23.902439	23.902439	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	19	0	0	0
28	3	2	2	0.000000	151.666667	151.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	91	0	0	0
29	20	2	2	0.000000	128.400000	128.400000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	82	0	0	0
30	7	2	2	0.000000	91.000000	91.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	61	0	0	0
31	4	2	1	0.000000	67.250000	67.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	37	0	0	0
